dataset,method,P1_description,P2_population,P3_bias,P4_ethics,st_compliance_index,GEO,POP,SKIN,ANN,GEN,diversity_index
ADNI,hybrid,70.0,89.3,72.3,80.0,77.9,0.667,1.0,0.0,1.0,1.0,0.733
BioASQ,hybrid,60.0,37.1,67.9,60.0,56.2,0.0,0.0,0.0,1.0,1.0,0.4
BraTS-2024,hybrid,76.7,45.0,78.6,60.0,65.1,0.0,0.333,0.0,1.0,1.0,0.467
CHB-MIT,hybrid,50.0,57.9,53.6,60.0,55.4,0.1,0.667,0.0,1.0,0.0,0.353
CheXpert,hybrid,50.0,54.3,92.9,60.0,64.3,0.1,0.333,0.0,0.5,1.0,0.387
CT-RATE,hybrid,70.0,54.3,80.4,50.0,63.7,0.1,0.333,0.0,0.5,1.0,0.387
eICU-CRD,hybrid,76.7,75.0,58.0,70.0,69.9,0.333,0.333,0.0,0.0,1.0,0.333
HAM10000,hybrid,66.7,34.3,92.9,50.0,61.0,0.333,0.333,1.0,1.0,1.0,0.733
ISIC-2024-Historical,hybrid,60.0,41.4,92.9,60.0,63.6,0.0,0.333,1.0,1.0,1.0,0.667
MedMCQA,hybrid,76.7,72.1,92.9,70.0,77.9,0.333,1.0,0.0,1.0,1.0,0.667
MedMNIST,hybrid,66.7,27.9,100.0,60.0,63.6,0.0,1.0,0.0,1.0,1.0,0.6
MedQA,hybrid,33.3,33.6,40.2,50.0,39.3,0.333,0.0,0.0,1.0,0.0,0.267
MIMIC-CXR,hybrid,66.7,60.7,86.6,70.0,71.0,0.1,0.333,0.0,0.5,1.0,0.387
MIMIC-IV,hybrid,66.7,71.4,85.7,70.0,73.5,0.1,0.333,0.0,0.0,1.0,0.287
NIH ChestX-ray14,hybrid,53.3,65.0,100.0,50.0,67.1,0.1,1.0,0.0,0.5,1.0,0.52
NIH DeepLesion,hybrid,46.7,50.7,61.6,60.0,54.7,0.1,0.0,0.0,0.5,0.0,0.12
PadChest,hybrid,66.7,64.3,86.6,40.0,64.4,0.1,0.333,0.0,0.5,1.0,0.387
PhysioNet-CinC-2020,hybrid,76.7,65.0,100.0,70.0,77.9,1.0,1.0,0.0,1.0,1.0,0.8
PMC-Patients,hybrid,90.0,45.0,100.0,70.0,76.2,0.0,0.333,0.0,0.0,1.0,0.267
PubMedQA,hybrid,53.3,44.3,79.5,60.0,59.3,0.333,0.333,0.0,1.0,1.0,0.533
Sleep-EDF-Expanded,hybrid,46.7,61.4,80.4,40.0,57.1,0.1,0.333,0.0,1.0,1.0,0.487
Tabula Sapiens,hybrid,76.7,24.3,78.6,50.0,57.4,0.0,0.667,0.0,1.0,1.0,0.533
TCGA,hybrid,70.0,72.1,92.9,70.0,76.2,0.333,1.0,0.0,1.0,1.0,0.667
TotalSegmentator,hybrid,56.7,47.1,73.2,50.0,56.8,0.1,0.333,0.0,1.0,1.0,0.487
UK Biobank,hybrid,60.0,71.4,39.3,60.0,57.7,0.333,0.667,0.0,1.0,0.0,0.4
VinDr-CXR,hybrid,56.7,57.9,74.1,60.0,62.2,0.333,0.333,1.0,1.0,1.0,0.733
